Date,Argentina,Australia,Brasil,Canada,China,France,Germany,India,Italy,Japan,Mexico,South Korea,Turkey,USA
2003-07-30,1.37726,1.00514,1.12105,1.05378,1.10862,0.98824,1.08608,1.1336,1.00262,1.10551,1.14632,1.07116,1.00847,1.06295
2003-07-31,1.36282,1.01525,1.12912,1.06152,1.10644,1.0,1.10471,1.13725,1.01181,1.09754,1.1613,1.07021,1.02073,1.06598
2003-08-01,1.35199,1.0211,1.09235,1.05577,1.10661,0.98734,1.0892,1.14406,1.00403,1.1031,1.15583,1.09082,1.02548,1.05505
2003-08-05,1.33935,1.02016,1.08644,1.05151,1.1196,0.99294,1.08904,1.12922,0.99926,1.07681,1.14842,1.08269,1.11032,1.03924
2003-08-06,1.33213,1.01889,1.07221,1.04414,1.11356,0.9738,1.06918,1.12197,0.98926,1.07007,1.14157,1.06175,1.09209,1.04098
2003-08-07,1.33935,1.02055,1.10882,1.05017,1.1144,0.97517,1.05531,1.14152,0.9899,1.06338,1.15335,1.06465,1.1149,1.04856
2003-08-08,1.33574,1.02406,1.12313,1.06065,1.10234,0.98605,1.05542,1.16458,0.99586,1.07049,1.15524,1.05614,1.11598,1.05229
2003-08-11,1.29061,1.02289,1.12812,1.07028,1.10469,0.99316,1.05775,1.16748,1.00211,1.08888,1.16155,1.0568,1.13565,1.05552
2003-08-12,1.29242,1.02188,1.13161,1.07557,1.10834,0.99936,1.07109,1.16628,1.00803,1.09772,1.16182,1.05188,1.1451,1.06603
2003-08-13,1.29783,1.02689,1.13827,1.07825,1.09826,0.99931,1.07653,1.17727,1.01003,1.11929,1.16349,1.06955,1.1505,1.05922
2003-08-14,1.29964,1.02439,1.14908,1.08139,1.09082,1.01602,1.09358,1.17581,1.02209,1.13774,1.17183,1.09044,1.1388,1.0662
2003-08-19,1.24188,1.03053,1.17787,1.09325,1.08619,1.03128,1.10999,1.20151,1.03118,1.16765,1.18222,1.11012,1.12857,1.07894
2003-08-20,1.21841,1.03125,1.20358,1.09562,1.08015,1.02183,1.10895,1.21641,1.02577,1.18119,1.17789,1.10573,1.11583,1.07674
2003-08-21,1.25993,1.03235,1.22047,1.09934,1.07973,1.02995,1.1293,1.22804,1.02837,1.18929,1.18392,1.13144,1.14372,1.07993
2003-08-22,1.23466,1.03544,1.21572,1.09213,1.07807,1.03698,1.1241,1.23696,1.03258,1.17994,1.1832,1.13201,1.15871,1.06894
2003-08-25,1.24729,1.03284,1.20408,1.08832,1.06556,1.02526,1.10859,1.20083,1.0235,1.17942,1.17398,1.13502,1.1391,1.06964
2003-08-26,1.25812,1.02985,1.23777,1.08856,1.06783,1.01446,1.09446,1.24511,1.01735,1.18583,1.17435,1.12943,1.13304,1.07289
2003-08-27,1.287,1.03398,1.25982,1.09701,1.06794,1.02173,1.1032,1.26108,1.02336,1.18313,1.18452,1.1384,1.12224,1.07296
2003-08-28,1.29061,1.03954,1.25333,1.09941,1.0607,1.0351,1.10624,1.2631,1.02761,1.17351,1.19421,1.12914,1.1112,1.07947
2003-08-29,1.287,1.04042,1.2624,1.09843,1.06541,1.03151,1.10368,1.27282,1.02228,1.18709,1.19862,1.13913,1.12112,1.08504
2003-09-02,1.30866,1.04637,1.28569,1.10671,1.08379,1.04787,1.12984,1.30115,1.03434,1.22687,1.2113,1.14968,1.12357,1.10009
2003-09-03,1.32491,1.04406,1.30067,1.10868,1.08479,1.0662,1.15528,1.27679,1.04882,1.2298,1.21878,1.14941,1.12692,1.10469
2003-09-04,1.32491,1.04913,1.30657,1.1108,1.08448,1.06243,1.16198,1.29255,1.04959,1.22192,1.21884,1.14615,1.12351,1.10652
